embedUrl,videoId,isIncluded,diagnostic,prognostic,motivational
https://www.youtube.com/embed/--_dsS5AFFw,:-99jZt79aWk,FALSE,[],[],[]
https://www.youtube.com/embed/--_dsS5AFFw,:-cTE419jhp0,true,[climate_change;deforestation],[creation],[donation;tree_benefits;celebrity_effect;community_effect]
https://www.youtube.com/embed/-BRWSaYQhM0,:-BRWSaYQhM0,,,,
https://www.youtube.com/embed/-gZBhlRuwqw,:-gZBhlRuwqw,,,,
