embedUrl,videoId,isIncluded,diagnostic,prognostic,motivational
https://www.youtube.com/embed/--_dsS5AFFw,:-99jZt79aWk,false,[none_apply],[spread the word],[join activities]
https://www.youtube.com/embed/--_dsS5AFFw,:-cTE419jhp0,true,[climate change;deforestation;inaction],[shoutout],[environmental actions]
