embedUrl,videoId,title,isIncluded,diagnostic,prognostic,motivational
https://www.youtube.com/embed/3wr5Dw-DcAo,:3wr5Dw-DcAo,Teamtree #teamtree,TRUE,[none_apply],[creation],[none_apply]
https://www.youtube.com/embed/y6kM9JAzOdQ,:y6kM9JAzOdQ,#TeamTrees Reaching the 20 MILLION Tree GOAL + Chat Reaction! (VidIQ),TRUE,[none_apply],[spread_the_word],[none_apply]
https://www.youtube.com/embed/b3gn2PrOv50,:b3gn2PrOv50,#TEAMTREES (Zakvlogz Edition),TRUE,[none_apply],[spread_the_word],[donation;celebrity_effect;community_effect]
https://www.youtube.com/embed/2hi-vFD__0E,:2hi-vFD__0E,How effective is #TeamTrees?,TRUE,[climate_change],[knowledge],[tree_benefits;celebrity_effect;community_effect]
https://www.youtube.com/embed/djg3YDMF1Bc,:djg3YDMF1Bc,Using AI to See Climate Change | #TeamTrees,TRUE,[climate_change],[environmental_discussion],[donation;celebrity_effect;community_effect]
https://www.youtube.com/embed/yu59_PSb18A,:yu59_PSb18A,*NEW* SURF RIDER SKIN + DUAL FILET PICKAXE ! LEVEL 260+ #TeamTrees | Fortnite Battle Royale,TRUE,[none_apply],[shout-out],[none_apply]
https://www.youtube.com/embed/3ptthDZkmLc,:3ptthDZkmLc,#TeamTrees,TRUE,[none_apply],[spread_the_word],[celebrity_effect;community_effect]
https://www.youtube.com/embed/TSFWvEdCytA,:TSFWvEdCytA,"Tangu Inc, Atlanta Addiction Treatment Tour",TRUE,[none_apply],[none_apply],[none_apply]
https://www.youtube.com/embed/rjmIEtYKJrM,:rjmIEtYKJrM,Team Trees | My Opinion #teamtrees,TRUE,[climate_change],[spread_the_word],[celebrity_effect;community_effect]
https://www.youtube.com/embed/yjMRTiIbqDw,:yjMRTiIbqDw,I planted 100 trees in Minecraft #teamtrees,TRUE,[none_apply],[gameplay],[none_apply]
https://www.youtube.com/embed/a0mtKvR18Lk,:a0mtKvR18Lk,live tree Plantation to save the world 20 Million Trees - #teamtrees save people plant trees,TRUE,[none_apply],[spread_the_word],[none_apply]
https://www.youtube.com/embed/ClO8HldU-Co,:ClO8HldU-Co,#TeamTrees GO SUPPORT w/RW,TRUE,[none_apply],[donation],[donation]
https://www.youtube.com/embed/mwOOXLC23BE,:mwOOXLC23BE,Youtuberlar Dünya'yı Kurtarıyor!  #teamtrees,FALSE,[],[],[]
https://www.youtube.com/embed/3vqczc9lv4E,:3vqczc9lv4E,History of Groot! [Guardians of the Galaxy] #TeamTrees,TRUE,[none_apply],[knowledge],[donation;celebrity_effect]
https://www.youtube.com/embed/SY8lYdJZM4E,:SY8lYdJZM4E,A Live Tree Counter for #TeamTrees in Roblox,TRUE,[none_apply],[gameplay],[donation]
https://www.youtube.com/embed/IYiWFWLwv3g,:IYiWFWLwv3g,"PLANTING 20,000,000 TREES! My Contribution! #TeamTrees",TRUE,[none_apply],[plant_trees],[donation;celebrity_effect;community_effect]
https://www.youtube.com/embed/HUsGxVa5eG4,:HUsGxVa5eG4,"Helping MrBeast Plant 20,000,000 Trees! #teamtrees",TRUE,[none_apply],[spread_the_word],[donation;environment_actions;celebrity_effect;community_effect]
https://www.youtube.com/embed/SSJLNw5WIzc,:SSJLNw5WIzc,Tree Simulator (#teamtrees),TRUE,[none_apply],[gameplay],[donation;celebrity_effect]
https://www.youtube.com/embed/GgMNoFlK5-g,:GgMNoFlK5-g,Something Was Missing! | The Mind of The Addict | Rap Song (with beat) By Derek Lambert,TRUE,[none_apply],[none_apply],[none_apply]
https://www.youtube.com/embed/LaMA3C2Kzi4,:LaMA3C2Kzi4,Team Trees hits 20 million trees,TRUE,[none_apply],[spread_the_word],[none_apply]
https://www.youtube.com/embed/HUsmw34chDg,:HUsmw34chDg,World Tour (Minecraft SMP Earth #21),TRUE,[none_apply],[shout-out],[none_apply]
https://www.youtube.com/embed/ExIVvUi89tI,:ExIVvUi89tI,#teamtrees,TRUE,[none_apply],[share_videos],[donation;celebrity_effect;community_effect]
https://www.youtube.com/embed/4G4s1yjx_xM,:4G4s1yjx_xM,Transferring Your Addiction | Joey Diaz,TRUE,[none_apply],[none_apply],[none_apply]
