videoId,channelId,publishedAt,searchKey
:zQg9IQosrT4,UCI78AdiI6f7VKhqW1i4B3Rw,2019-10-25,asmr
:9v7avjGIg08,UCI78AdiI6f7VKhqW1i4B3Rw,2019-10-29,asmr
:kXSa6aMF94s,UCyls5FepyOPvI-fNOELkkeQ,2019-11-02,asmr
:1IXgxKBGWhc,UCtjFp8VXWIscsqQ2wokpo3Q,2019-10-29,asmr
:Q9p3wq_OAGc,UCg7xkCKcxA84xSTGgtF9ySA,2019-11-02,asmr
:2zckPC37rV4,UCSwK_226lrRdzMy27jBd3aA,2019-11-02,asmr
:ZHjU20Uh79Q,UCI4J4Aog35UbQ_wq4KPW75Q,2019-11-02,asmr
:yLuh2ao634A,UC0ipdYy6ComqBHX14p_oP0g,2019-10-27,asmr
:Y_fXmZt1j4k,UCF1QZ_zlM6fVkEoPdhthEpQ,2019-11-02,asmr
:BFaSrdyoTQU,UC2fsxQr6Hcx1enORxXgKpxQ,2019-10-26,asmr
:PZ5dzogLEeI,UC319CxqQVwxLyCWGi833iUw,2019-10-28,asmr
:v1Ywo7LrZeY,UCSwK_226lrRdzMy27jBd3aA,2019-11-02,asmr
:2SiFdmUeQqY,UCT48QhzrlNVDLwuWoHhkNnA,2019-10-30,asmr
:ufUtYCZpcQw,UCch8ZkbFlqLhg3ipvsiuyRw,2019-10-29,asmr
:yaixCIxqdcw,UClrJIyUz_dt8iGy_rvEbkJA,2019-11-01,asmr
:Wi9uzsRCCBQ,UC8F2gr4_K4pU96Ft9V1P-hg,2019-10-25,asmr
:PD0X7YADPk8,UCE6acMV3m35znLcf0JGNn7Q,2019-10-27,asmr
:ib-AHKaFypY,UCjyi6by44TTH0j_U3vXEGpA,2019-10-28,asmr
:bS26de6sj7o,UCxgAdCqJvjvrF7LNqSAgzSg,2019-10-30,asmr
:LsXMhnEZtlg,UCI78AdiI6f7VKhqW1i4B3Rw,2019-10-28,asmr
:4UX8SaQOCx4,UCWIH-lorJrPnBJukxKAOGhg,2019-10-27,asmr
:597YQNtlyWk,UCl-QNzkm3zAmoCqedCL1EPQ,2019-10-29,asmr
:K8cJXftnFJs,UCSwK_226lrRdzMy27jBd3aA,2019-11-01,asmr
:gTfPPUui-os,UCSwK_226lrRdzMy27jBd3aA,2019-10-25,asmr
:i3emZyTT6IU,UCoLQZ4ZClFqVPCvvjuiUSRA,2019-10-29,asmr
:bJoVEZijyM0,UClqNSqnWeOOUVkzcJFj4rBw,2019-10-31,asmr
:U-AOQr4vmEE,UCzGEGjOCbgv9z9SF71QyI7g,2019-11-01,asmr
:ATKwHw_8dy8,UCSwK_226lrRdzMy27jBd3aA,2019-10-25,asmr
:Cr8ydMa9nfE,UCowJiJwaygWAtNJXt95z9eQ,2019-10-29,asmr
:cMTsPR8rUck,UCNS8BF28FnJpGOH2VaFdtew,2019-11-01,asmr
:8KSdICnufW4,UCTFCMkTZPwi_PjerXYxDscA,2019-11-02,asmr
:tJ7bIbYQJuI,UCxtLc0Jqq3SKBWlIXM_OC9g,2019-10-30,asmr
:a7qsnhnp4C4,UCeftkDFnfUJ3xMiFzRbmx7Q,2019-11-01,asmr
:NWW7lS3nlQg,UCB7Te5Pb6LOTFV7i0Rzp8dg,2019-11-02,asmr
:q223NoxVbX8,UCYzPXprvl5Y-Sf0g4vX-m6g,2019-10-30,asmr
:xJg74MF0AME,UCjWb4Jd4thfN7qDfrgA7k-w,2019-10-30,asmr
:Njbei6cTCUY,UCjWJzT1sfCUTc_BWmJUY9zQ,2019-10-30,asmr
:fUsshSsI22o,UCHJuQZuzapBh-CuhRYxIZrg,2019-10-25,asmr
:3C3QihatLeg,UCazay-C-shtEEUO78ObKGJg,2019-10-31,asmr
:_ixAqQvEciw,UCRz3cGfqeMPSHMBN6CxKQ9w,2019-10-28,asmr
:ANUSmB-KvRU,UCI78AdiI6f7VKhqW1i4B3Rw,2019-11-01,asmr
