TASK_ID,SAME_TASK_GROUP_ID,STATUS,USER_ID,IP_ADDRESS,COUNTRY,START_TIME,FINISH_TIME,TIME_TOOK_TO_COMPLETE_TASK,VIDEO_URL,speak_language,category,mrbeast,arborday,teamtrees_org,noteble_youtuber,noteble_entrepreneur,event_name,quality,creativity,awareness
9300882,G5e32a58f320c9,OK,48fa0a30,173.187.97.195,United States,"Thursday, 30-Jan-20 09:37:15 EST","Thursday, 30-Jan-20 09:47:01 EST",9 minute(s) and 46 second(s),https://www.youtube.com/embed/2GbdCZnK4Sw?autoplay=0,speak_no,knowledge,0,0,1,0,0,TeamTrees,high,high,high
9302343,G5e32a58f324bd,OK,788dc2f4,154.51.186.19,United Kingdom,"Friday, 31-Jan-20 06:17:10 EST","Friday, 31-Jan-20 06:24:23 EST",7 minute(s) and 13 second(s),https://www.youtube.com/embed/zemBSB9XDYU?autoplay=0,speak_yes,spread_word,1,1,1,1,0,TeamTrees,neutral,high,high
9297794,G5e32a58f2497b,OK,e68c2f13,121.208.33.84,Australia,"Thursday, 30-Jan-20 05:38:47 EST","Thursday, 30-Jan-20 05:47:52 EST",9 minute(s) and 5 second(s),https://www.youtube.com/embed/Nl-WunKwjrY?autoplay=0,speak_yes,knowledge,0,0,1,0,0,TeamTrees,high,high,very_high
9298170,G5e32a58f2497b,OK,17ab4021,188.30.122.221,United Kingdom,"Thursday, 30-Jan-20 05:51:18 EST","Thursday, 30-Jan-20 05:55:23 EST",4 minute(s) and 5 second(s),https://www.youtube.com/embed/Nl-WunKwjrY?autoplay=0,speak_yes,knowledge,0,0,0,0,0,TeamTrees,high,low,high
9306642,G5e32a58f32218,OK,a2d87676,70.27.253.211,Canada,"Thursday, 30-Jan-20 20:00:49 EST","Thursday, 30-Jan-20 20:03:03 EST",2 minute(s) and 14 second(s),https://www.youtube.com/embed/fS1OAnVWMcI?autoplay=0,speak_yes,live_stream_stat,1,1,1,0,1,TeamTrees,neutral,neutral,neutral
9301745,G5e32a58f32218,OK,788dc2f4,154.51.186.19,United Kingdom,"Thursday, 30-Jan-20 11:38:38 EST","Thursday, 30-Jan-20 11:40:27 EST",1 minute(s) and 49 second(s),https://www.youtube.com/embed/fS1OAnVWMcI?autoplay=0,speak_yes,donating,1,1,1,1,1,TeamTrees,high,high,very_high
9301817,G5e32a58f32218,OK,f3dbc745,71.84.201.36,United States,"Thursday, 30-Jan-20 11:42:54 EST","Thursday, 30-Jan-20 11:44:25 EST",1 minute(s) and 31 second(s),https://www.youtube.com/embed/fS1OAnVWMcI?autoplay=0,speak_yes,donating,1,1,1,1,1,TeamTrees,very_high,very_high,very_high
9298637,G5e32a58f3173a,NOK,e68c2f13,121.208.33.84,Australia,"Thursday, 30-Jan-20 05:56:11 EST","Thursday, 30-Jan-20 06:06:57 EST",10 minute(s) and 46 second(s),https://www.youtube.com/embed/CJ-HVyJKwwk?autoplay=0,speak_yes,live_stream_game,1,0,1,1,1,abd,high,high,high
9299378,G5e32a58f3173a,NOK,709fd5ef,212.219.193.151,United Kingdom,"Thursday, 30-Jan-20 07:09:58 EST","Thursday, 30-Jan-20 07:11:47 EST",1 minute(s) and 49 second(s),https://www.youtube.com/embed/CJ-HVyJKwwk?autoplay=0,speak_yes,donating,1,0,1,0,1,TeamTrees,neutral,low,high
9299960,G5e32a58f3173a,OK,4995a7e1,172.58.139.116,United States,"Thursday, 30-Jan-20 07:14:07 EST","Thursday, 30-Jan-20 07:28:22 EST",14 minute(s) and 15 second(s),https://www.youtube.com/embed/CJ-HVyJKwwk?autoplay=0,speak_yes,donating,1,1,1,1,0,TeamTrees,high,high,high
9304263,G5e32a58f3173a,OK,f3dbc745,71.84.201.36,United States,"Thursday, 30-Jan-20 18:33:41 EST","Thursday, 30-Jan-20 18:44:07 EST",10 minute(s) and 26 second(s),https://www.youtube.com/embed/CJ-HVyJKwwk?autoplay=0,speak_yes,donating,1,1,1,1,1,TeamTrees,very_high,very_high,very_high
9328189,G5e32a58f3173a,NOK,3d17bb7a,186.95.61.88,United States,"Sunday, 02-Feb-20 03:19:42 EST","Sunday, 02-Feb-20 03:29:22 EST",9 minute(s) and 40 second(s),https://www.youtube.com/embed/CJ-HVyJKwwk?autoplay=0,speak_little,live_stream_game,1,1,0,1,0,TeamTrees,very_high,very_high,very_high
9330968,G5e32a58f3173a,OK,efd82768,150.143.213.165,United Kingdom,"Sunday, 02-Feb-20 08:10:51 EST","Sunday, 02-Feb-20 08:12:59 EST",2 minute(s) and 8 second(s),https://www.youtube.com/embed/CJ-HVyJKwwk?autoplay=0,speak_yes,donating,1,1,1,1,1,TeamTrees,high,neutral,high
9306648,G5e32a58f324bd,OK,a2d87676,70.27.253.211,Canada,"Thursday, 30-Jan-20 20:09:51 EST","Thursday, 30-Jan-20 20:17:54 EST",8 minute(s) and 3 second(s),https://www.youtube.com/embed/zemBSB9XDYU?autoplay=0,speak_yes,theme_creation_performance,1,1,1,0,0,TeamTrees,neutral,neutral,neutral
9302460,G5e32a58f324bd,OK,f3dbc745,71.84.201.36,United States,"Thursday, 30-Jan-20 12:18:37 EST","Thursday, 30-Jan-20 12:24:28 EST",5 minute(s) and 51 second(s),https://www.youtube.com/embed/zemBSB9XDYU?autoplay=0,speak_yes,theme_creation_performance,1,1,1,1,1,TeamTrees,very_high,very_high,very_high
9328088,G5e32a58f31547,NOK,325ec807,179.42.210.100,Belize,"Saturday, 01-Feb-20 11:02:45 EST","Saturday, 01-Feb-20 11:05:23 EST",2 minute(s) and 38 second(s),https://www.youtube.com/embed/5TEDhySjOQM?autoplay=0,speak_yes,spread_word,1,1,1,0,0,abd,high,high,high
9299422,G5e32a58f318bf,NOK,709fd5ef,212.219.193.151,United Kingdom,"Thursday, 30-Jan-20 07:11:57 EST","Thursday, 30-Jan-20 07:13:24 EST",1 minute(s) and 27 second(s),https://www.youtube.com/embed/79SFSNUZgvU?autoplay=0,speak_yes,theme_creation_performance,0,0,1,0,0,TeamTrees,high,neutral,neutral
9300150,G5e32a58f318bf,OK,4995a7e1,216.255.101.58,United States,"Thursday, 30-Jan-20 07:47:54 EST","Thursday, 30-Jan-20 08:01:20 EST",13 minute(s) and 26 second(s),https://www.youtube.com/embed/79SFSNUZgvU?autoplay=0,speak_little,theme_creation_performance,0,0,1,0,0,TeamTrees,high,very_high,high
9300194,G5e32a58f318bf,OK,04c716b0,197.210.47.120,United States,"Thursday, 30-Jan-20 08:41:14 EST","Thursday, 30-Jan-20 08:42:58 EST",1 minute(s) and 44 second(s),https://www.youtube.com/embed/79SFSNUZgvU?autoplay=0,speak_yes,theme_creation_performance,1,1,1,0,0,TeamTrees,low,high,high
9304569,G5e32a58f318bf,NOK,f3dbc745,71.84.201.36,United States,"Thursday, 30-Jan-20 18:44:13 EST","Thursday, 30-Jan-20 18:49:24 EST",5 minute(s) and 11 second(s),https://www.youtube.com/embed/79SFSNUZgvU?autoplay=0,speak_yes,live_stream_game,1,1,1,1,1,TeamTrees,very_high,very_high,very_high
9306661,G5e32a58f318bf,OK,89a14370,2600:1702:1380:2b70:4517:d1bd:e9e4:24a,United States,"Thursday, 30-Jan-20 20:33:00 EST","Thursday, 30-Jan-20 20:42:03 EST",9 minute(s) and 3 second(s),https://www.youtube.com/embed/79SFSNUZgvU?autoplay=0,speak_no,comment_video,0,0,0,0,0,TeamTrees,neutral,low,high
9299521,G5e32a58f31a16,OK,709fd5ef,212.219.193.151,United Kingdom,"Thursday, 30-Jan-20 07:18:40 EST","Thursday, 30-Jan-20 07:21:52 EST",3 minute(s) and 12 second(s),https://www.youtube.com/embed/JnY4IpLU0EY?autoplay=0,speak_yes,live_stream_game,1,0,0,0,0,TeamTrees,neutral,high,high
9300203,G5e32a58f31a16,NOK,04c716b0,197.210.47.104,United States,"Thursday, 30-Jan-20 08:43:07 EST","Thursday, 30-Jan-20 08:44:04 EST",0 minute(s) and 57 second(s),https://www.youtube.com/embed/JnY4IpLU0EY?autoplay=0,speak_yes,theme_creation_performance,1,0,1,0,0,lg,high,low,neutral
9300588,G5e32a58f31a16,OK,48fa0a30,173.187.97.195,United States,"Thursday, 30-Jan-20 09:13:45 EST","Thursday, 30-Jan-20 09:16:52 EST",3 minute(s) and 7 second(s),https://www.youtube.com/embed/JnY4IpLU0EY?autoplay=0,speak_yes,live_stream_game,0,0,1,0,1,TeamTrees,very_high,high,very_high
9306507,G5e32a58f31a16,OK,c6b04924,65.94.51.66,Canada,"Friday, 31-Jan-20 09:19:35 EST","Friday, 31-Jan-20 09:20:31 EST",0 minute(s) and 56 second(s),https://www.youtube.com/embed/JnY4IpLU0EY?autoplay=0,speak_yes,spread_word,0,0,1,0,0,TeamTrees,low,low,neutral
9300206,G5e32a58f31cc6,NOK,04c716b0,197.210.65.136,United States,"Thursday, 30-Jan-20 08:45:08 EST","Thursday, 30-Jan-20 08:45:56 EST",0 minute(s) and 48 second(s),https://www.youtube.com/embed/-UJFaRXy0dU?autoplay=0,speak_yes,planting_trees,1,0,1,0,0,TeamTrees,neutral,neutral,high
9300714,G5e32a58f31cc6,OK,48fa0a30,173.187.97.195,United States,"Thursday, 30-Jan-20 09:22:19 EST","Thursday, 30-Jan-20 09:28:22 EST",6 minute(s) and 3 second(s),https://www.youtube.com/embed/-UJFaRXy0dU?autoplay=0,speak_yes,live_stream_game,0,0,1,0,0,TeamTrees,high,high,high
9301302,G5e32a58f31cc6,OK,9032b83f,190.201.32.36,United States,"Thursday, 30-Jan-20 10:56:23 EST","Thursday, 30-Jan-20 11:03:17 EST",6 minute(s) and 54 second(s),https://www.youtube.com/embed/-UJFaRXy0dU?autoplay=0,speak_little,live_stream_game,0,0,0,0,0,TeamTrees,neutral,high,neutral
9297755,G5e32a58f2497b,OK,cd6149b5,81.92.200.228,United Kingdom,"Thursday, 30-Jan-20 05:27:00 EST","Thursday, 30-Jan-20 05:36:52 EST",9 minute(s) and 52 second(s),https://www.youtube.com/embed/Nl-WunKwjrY?autoplay=0,speak_yes,knowledge,0,0,1,0,0,TeamTrees,very_high,very_high,high
9299373,G5e32a58f31547,OK,709fd5ef,212.219.193.151,United Kingdom,"Thursday, 30-Jan-20 07:07:24 EST","Thursday, 30-Jan-20 07:09:46 EST",2 minute(s) and 22 second(s),https://www.youtube.com/embed/5TEDhySjOQM?autoplay=0,speak_yes,spread_word,1,1,1,1,1,TeamTrees,neutral,neutral,high
9301548,G5e32a58f320c9,OK,788dc2f4,154.51.186.19,United Kingdom,"Thursday, 30-Jan-20 11:21:14 EST","Thursday, 30-Jan-20 11:32:28 EST",11 minute(s) and 14 second(s),https://www.youtube.com/embed/2GbdCZnK4Sw?autoplay=0,speak_no,knowledge,1,1,1,0,0,TeamTrees,neutral,low,high
9306663,G5e32a58f31e25,OK,9032b83f,190.201.32.36,United States,"Thursday, 30-Jan-20 20:38:04 EST","Thursday, 30-Jan-20 20:43:19 EST",5 minute(s) and 15 second(s),https://www.youtube.com/embed/2HkecNkioOA?autoplay=0,speak_little,theme_creation_performance,1,1,1,0,0,TeamTrees,neutral,high,high
9302002,G5e32a58f320c9,OK,e18729fe,24.76.93.26,Canada,"Thursday, 30-Jan-20 11:39:22 EST","Thursday, 30-Jan-20 11:49:22 EST",10 minute(s) and 0 second(s),https://www.youtube.com/embed/2GbdCZnK4Sw?autoplay=0,speak_no,spread_word,0,1,1,0,0,TeamTrees,very_high,high,high
9300977,G5e32a58f3236d,OK,48fa0a30,173.187.97.195,United States,"Thursday, 30-Jan-20 09:59:18 EST","Thursday, 30-Jan-20 10:02:50 EST",3 minute(s) and 32 second(s),https://www.youtube.com/embed/6LzY5dc4hGk?autoplay=0,speak_yes,theme_creation_performance,1,0,1,0,0,TeamTrees,very_high,very_high,very_high
9302127,G5e32a58f3236d,OK,788dc2f4,154.51.186.19,United Kingdom,"Thursday, 30-Jan-20 11:52:12 EST","Thursday, 30-Jan-20 11:55:44 EST",3 minute(s) and 32 second(s),https://www.youtube.com/embed/6LzY5dc4hGk?autoplay=0,speak_yes,theme_creation_performance,0,0,1,0,0,TeamTrees,low,low,low
9302261,G5e32a58f3236d,OK,1b7aa48b,74.111.8.182,United States,"Thursday, 30-Jan-20 16:10:59 EST","Thursday, 30-Jan-20 16:14:25 EST",3 minute(s) and 26 second(s),https://www.youtube.com/embed/6LzY5dc4hGk?autoplay=0,speak_yes,theme_creation_performance,1,0,1,0,1,TeamTrees,high,very_high,high
9301053,G5e32a58f32769,OK,48fa0a30,173.187.97.195,United States,"Thursday, 30-Jan-20 10:40:44 EST","Thursday, 30-Jan-20 10:45:09 EST",4 minute(s) and 25 second(s),https://www.youtube.com/embed/9Qtbryjh_0E?autoplay=0,speak_yes,spread_word,0,0,1,0,0,TeamTrees,very_high,very_high,very_high
9304133,G5e32a58f32769,OK,f3dbc745,71.84.201.36,United States,"Thursday, 30-Jan-20 18:49:29 EST","Thursday, 30-Jan-20 18:56:45 EST",7 minute(s) and 16 second(s),https://www.youtube.com/embed/9Qtbryjh_0E?autoplay=0,speak_yes,knowledge,1,1,1,1,1,TeamTrees,very_high,very_high,very_high
9304255,G5e32a58f32769,NOK,325ec807,179.42.210.100,Belize,"Thursday, 30-Jan-20 16:21:09 EST","Thursday, 30-Jan-20 16:24:12 EST",3 minute(s) and 3 second(s),https://www.youtube.com/embed/9Qtbryjh_0E?autoplay=0,speak_yes,planting_trees,0,0,1,1,1,pd,very_high,very_high,high
9306549,G5e32a58f32769,OK,4efaebfc,89.187.178.28,United States,"Thursday, 30-Jan-20 17:10:02 EST","Thursday, 30-Jan-20 17:15:01 EST",4 minute(s) and 59 second(s),https://www.youtube.com/embed/9Qtbryjh_0E?autoplay=0,speak_little,knowledge,0,0,0,0,0,TeamTrees,high,low,low
9300241,G5e32a58f31e25,NOK,04c716b0,197.210.47.177,United States,"Thursday, 30-Jan-20 08:46:05 EST","Thursday, 30-Jan-20 08:46:59 EST",0 minute(s) and 54 second(s),https://www.youtube.com/embed/2HkecNkioOA?autoplay=0,speak_little,live_stream_stat,1,0,1,0,0,TeamTrees,neutral,high,high
9306601,G5e32a58f31e25,NOK,f3dbc745,71.84.201.36,United States,"Thursday, 30-Jan-20 19:23:04 EST","Thursday, 30-Jan-20 19:26:25 EST",3 minute(s) and 21 second(s),https://www.youtube.com/embed/2HkecNkioOA?autoplay=0,speak_yes,theme_creation_performance,1,1,1,1,1,TeamTrees,very_high,very_high,very_high
9301003,G5e32a58f31e25,OK,788dc2f4,154.51.186.19,United Kingdom,"Thursday, 30-Jan-20 12:21:27 EST","Thursday, 30-Jan-20 12:25:17 EST",3 minute(s) and 50 second(s),https://www.youtube.com/embed/2HkecNkioOA?autoplay=0,speak_yes,comment_news,1,1,1,0,0,TeamTrees,neutral,neutral,low
9304887,G5e32a58f31e25,OK,89a14370,2600:1702:1380:2b70:25bb:506:9da5:4ec5,United States,"Thursday, 30-Jan-20 14:29:35 EST","Thursday, 30-Jan-20 14:35:41 EST",6 minute(s) and 6 second(s),https://www.youtube.com/embed/2HkecNkioOA?autoplay=0,speak_yes,spread_word,1,1,1,1,0,TeamTrees,neutral,high,neutral
9300274,G5e32a58f31f7e,NOK,04c716b0,197.210.65.179,United States,"Thursday, 30-Jan-20 08:37:46 EST","Thursday, 30-Jan-20 08:41:01 EST",3 minute(s) and 15 second(s),https://www.youtube.com/embed/l7AU39s8nUg?autoplay=0,speak_yes,planting_trees,0,0,0,0,0,TeamTrees,low,high,very_high
9298993,G5e32a58f31547,OK,3f7ac405,98.153.62.18,United States,"Thursday, 30-Jan-20 06:21:09 EST","Thursday, 30-Jan-20 06:22:29 EST",1 minute(s) and 20 second(s),https://www.youtube.com/embed/5TEDhySjOQM?autoplay=0,speak_yes,comment_news,1,0,1,0,0,TeamTrees,high,high,high
9306603,G5e32a58f31f7e,NOK,f3dbc745,71.84.201.36,United States,"Thursday, 30-Jan-20 19:26:44 EST","Thursday, 30-Jan-20 19:28:07 EST",1 minute(s) and 23 second(s),https://www.youtube.com/embed/l7AU39s8nUg?autoplay=0,speak_yes,theme_creation_performance,1,1,1,1,1,TeamTrees,very_high,very_high,very_high
9301323,G5e32a58f31f7e,NOK,788dc2f4,149.14.225.106,United Kingdom,"Thursday, 30-Jan-20 11:00:13 EST","Thursday, 30-Jan-20 11:03:52 EST",3 minute(s) and 39 second(s),https://www.youtube.com/embed/l7AU39s8nUg?autoplay=0,speak_yes,theme_creation_performance,0,0,0,0,0,lg,low,neutral,very_low
9304892,G5e32a58f31f7e,OK,9032b83f,190.201.32.36,United States,"Thursday, 30-Jan-20 14:33:24 EST","Thursday, 30-Jan-20 14:37:48 EST",4 minute(s) and 24 second(s),https://www.youtube.com/embed/l7AU39s8nUg?autoplay=0,speak_little,theme_creation_performance,0,0,0,0,0,TeamTrees,neutral,neutral,high
9306666,G5e32a58f31f7e,OK,89a14370,2600:1702:1380:2b70:4517:d1bd:e9e4:24a,United States,"Thursday, 30-Jan-20 20:42:13 EST","Thursday, 30-Jan-20 20:45:58 EST",3 minute(s) and 45 second(s),https://www.youtube.com/embed/l7AU39s8nUg?autoplay=0,speak_yes,theme_creation_performance,0,0,0,0,0,TeamTrees,neutral,high,high
9300204,G5e32a58f31b70,OK,04c716b0,197.210.65.175,United States,"Thursday, 30-Jan-20 08:44:12 EST","Thursday, 30-Jan-20 08:45:00 EST",0 minute(s) and 48 second(s),https://www.youtube.com/embed/pm2uj1jddwE?autoplay=0,speak_yes,theme_creation_performance,1,0,1,0,0,TeamTrees,high,high,high
9300655,G5e32a58f31b70,OK,48fa0a30,173.187.97.195,United States,"Thursday, 30-Jan-20 09:19:10 EST","Thursday, 30-Jan-20 09:21:27 EST",2 minute(s) and 17 second(s),https://www.youtube.com/embed/pm2uj1jddwE?autoplay=0,speak_no,theme_creation_performance,0,0,1,0,0,TeamTrees,high,neutral,high
9306538,G5e32a58f31b70,OK,e3ab77ba,66.191.3.7,United States,"Thursday, 30-Jan-20 16:51:37 EST","Thursday, 30-Jan-20 16:54:35 EST",2 minute(s) and 58 second(s),https://www.youtube.com/embed/pm2uj1jddwE?autoplay=0,speak_yes,spread_word,0,0,0,0,0,TeamTrees,high,high,very_high
