TASK_ID,SAME_TASK_GROUP_ID,STATUS,USER_ID,IP_ADDRESS,COUNTRY,START_TIME,FINISH_TIME,TIME_TOOK_TO_COMPLETE_TASK,VIDEO_URL,speak_language,category,mrbeast,arborday,teamtrees_org,noteble_youtuber,noteble_entrepreneur,event_name,quality,creativity,awareness
9380571,G5e3b313a02710,OK,1d8c6ea1,70.125.225.198,United States,"Wednesday, 05-Feb-20 23:54:46 EST","Thursday, 06-Feb-20 00:05:03 EST",10 minute(s) and 17 second(s),https://www.youtube.com/embed/XZdrBrq-iXM?autoplay=0,speak_yes,theme_creation_object,0,1,1,0,0,TeamTrees,neutral,neutral,high
9386351,G5e3b313a021e0,OK,8545f2f8,2a02:c7f:700a:ee00:6c61:654d:dcbd:98dd,United Kingdom,"Thursday, 06-Feb-20 10:53:33 EST","Thursday, 06-Feb-20 10:56:02 EST",2 minute(s) and 29 second(s),https://www.youtube.com/embed/Y40oQ4dmh-I?autoplay=0,speak_yes,spread_word,1,1,1,0,0,TeamTrees,very_high,very_high,very_high
9380393,G5e3b313a01992,OK,1d8c6ea1,70.125.225.198,United States,"Wednesday, 05-Feb-20 22:23:46 EST","Wednesday, 05-Feb-20 22:34:58 EST",11 minute(s) and 12 second(s),https://www.youtube.com/embed/gqng2MPClO8?autoplay=0,speak_yes,theme_creation_object,0,1,1,0,0,TeamTrees,low,neutral,high
9381114,G5e3b313a01992,NOK,8e7b6176,72.17.88.235,United States,"Thursday, 06-Feb-20 20:37:31 EST","Thursday, 06-Feb-20 20:48:26 EST",10 minute(s) and 55 second(s),https://www.youtube.com/embed/gqng2MPClO8?autoplay=0,speak_yes,planting_trees,1,1,1,1,1,TeamTrees,neutral,neutral,neutral
9383647,G5e3b313a01992,OK,92f4adf0,70.113.252.102,United States,"Thursday, 06-Feb-20 08:40:11 EST","Thursday, 06-Feb-20 08:50:42 EST",10 minute(s) and 31 second(s),https://www.youtube.com/embed/gqng2MPClO8?autoplay=0,speak_yes,theme_creation_object,0,0,1,0,0,TeamTrees,high,neutral,neutral
9401488,G5e3b313a01992,NOK,75ddb43b,72.27.59.37,Jamaica,"Friday, 07-Feb-20 17:58:50 EST","Friday, 07-Feb-20 18:00:22 EST",1 minute(s) and 32 second(s),https://www.youtube.com/embed/gqng2MPClO8?autoplay=0,speak_yes,donating,1,1,1,1,0,TeamTrees,high,neutral,high
9405284,G5e3b313a01992,OK,a4ba7ac3,2003:c5:713:8100:5964:9375:91f1:26ac,United Kingdom,"Friday, 07-Feb-20 19:04:01 EST","Friday, 07-Feb-20 19:13:48 EST",9 minute(s) and 47 second(s),https://www.youtube.com/embed/gqng2MPClO8?autoplay=0,speak_yes,theme_creation_object,1,1,1,0,0,TeamTrees,high,high,very_high
9380371,G5e3b313a01735,OK,1d8c6ea1,70.125.225.198,United States,"Wednesday, 05-Feb-20 22:12:53 EST","Wednesday, 05-Feb-20 22:23:23 EST",10 minute(s) and 30 second(s),https://www.youtube.com/embed/mwOOXLC23BE?autoplay=0,speak_no,comment_video,0,0,1,0,0,TeamTrees,low,neutral,low
9380400,G5e3b313a01735,OK,325ec807,179.42.204.123,Belize,"Wednesday, 05-Feb-20 22:34:36 EST","Wednesday, 05-Feb-20 22:38:39 EST",4 minute(s) and 3 second(s),https://www.youtube.com/embed/mwOOXLC23BE?autoplay=0,speak_no,spread_word,1,0,0,1,0,TeamTrees,very_high,very_high,high
9381101,G5e3b313a01735,OK,8e7b6176,72.17.88.235,United States,"Thursday, 06-Feb-20 01:30:14 EST","Thursday, 06-Feb-20 01:45:10 EST",14 minute(s) and 56 second(s),https://www.youtube.com/embed/mwOOXLC23BE?autoplay=0,speak_yes,knowledge,1,0,1,1,1,TeamTrees,neutral,neutral,neutral
