TASK_ID,SAME_TASK_GROUP_ID,STATUS,USER_ID,IP_ADDRESS,COUNTRY,START_TIME,FINISH_TIME,TIME_TOOK_TO_COMPLETE_TASK,VIDEO_URL,speak_language,category,mrbeast,arborday,teamtrees_org,noteble_youtuber,noteble_entrepreneur,event_name,quality,creativity,awareness
9383240,G5e3c0472b0633,OK,92f4adf0,70.113.252.102,United States,"Thursday, 06-Feb-20 07:53:46 EST","Thursday, 06-Feb-20 08:02:43 EST",8 minute(s) and 57 second(s),https://www.youtube.com/embed/JiqTNObyFRQ?autoplay=0,speak_yes,donating,0,0,1,0,0,TeamTrees,high,high,high
9405075,G5e3c0472b146e,OK,e18729fe,24.76.93.26,Canada,"Friday, 07-Feb-20 16:58:54 EST","Friday, 07-Feb-20 17:05:34 EST",6 minute(s) and 40 second(s),https://www.youtube.com/embed/iAPd3rptRw0?autoplay=0,speak_yes,planting_trees,1,0,1,0,0,TeamTrees,very_high,very_high,very_high
9411154,G5e3c0472b1599,OK,8545f2f8,2a02:c7f:700a:ee00:6464:e2b7:44ac:235a,United Kingdom,"Saturday, 08-Feb-20 08:43:33 EST","Saturday, 08-Feb-20 08:52:00 EST",8 minute(s) and 27 second(s),https://www.youtube.com/embed/LdLSs7LMd-0?autoplay=0,speak_yes,live_stream_stat,1,1,1,0,1,TeamTrees,neutral,neutral,very_high
9411991,G5e3c0472b1599,OK,5fb336fc,186.93.176.177,United States,"Saturday, 08-Feb-20 11:46:32 EST","Saturday, 08-Feb-20 11:49:56 EST",3 minute(s) and 24 second(s),https://www.youtube.com/embed/LdLSs7LMd-0?autoplay=0,speak_little,live_stream_stat,1,0,1,0,0,TeamTrees,high,neutral,high
9396647,G5e3c0472b0911,OK,a4ba7ac3,2003:c5:713:8100:a9cd:57ff:aea4:d983,United Kingdom,"Friday, 07-Feb-20 06:29:25 EST","Friday, 07-Feb-20 06:41:34 EST",12 minute(s) and 9 second(s),https://www.youtube.com/embed/FFjoU0YJn3Y?autoplay=0,speak_yes,comment_video,1,0,1,0,0,TeamTrees,neutral,neutral,neutral
9386136,G5e3c0472b0911,NOK,8545f2f8,2a02:c7f:700a:ee00:c0dd:e808:e00f:5e5d,United Kingdom,"Friday, 07-Feb-20 05:39:07 EST","Friday, 07-Feb-20 05:46:46 EST",7 minute(s) and 39 second(s),https://www.youtube.com/embed/FFjoU0YJn3Y?autoplay=0,speak_yes,donating,1,0,1,0,0,TeamTrees,very_low,very_low,very_low
9386953,G5e3c0472b0911,OK,9f55fb7c,79.67.216.251,United Kingdom,"Friday, 07-Feb-20 02:09:06 EST","Friday, 07-Feb-20 02:24:05 EST",14 minute(s) and 59 second(s),https://www.youtube.com/embed/FFjoU0YJn3Y?autoplay=0,speak_yes,comment_video,1,1,1,1,0,TeamTrees,neutral,low,high
9400630,G5e3c0472b0911,OK,1c94bf55,24.1.182.169,United States,"Friday, 07-Feb-20 10:41:23 EST","Friday, 07-Feb-20 10:49:57 EST",8 minute(s) and 34 second(s),https://www.youtube.com/embed/FFjoU0YJn3Y?autoplay=0,speak_yes,comment_video,1,1,1,0,0,TeamTrees,very_high,very_high,very_high
9396686,G5e3c0472b0da9,OK,8545f2f8,2a02:c7f:700a:ee00:c0dd:e808:e00f:5e5d,United Kingdom,"Friday, 07-Feb-20 06:52:59 EST","Friday, 07-Feb-20 07:02:17 EST",9 minute(s) and 18 second(s),https://www.youtube.com/embed/es2lMH147AI?autoplay=0,speak_yes,donating,1,0,1,1,0,TeamTrees,high,neutral,high
9393806,G5e3c0472b0da9,OK,8e7b6176,72.17.88.235,United States,"Thursday, 06-Feb-20 21:45:37 EST","Thursday, 06-Feb-20 21:57:37 EST",12 minute(s) and 0 second(s),https://www.youtube.com/embed/es2lMH147AI?autoplay=0,speak_yes,donating,1,1,1,1,0,TeamTrees,neutral,neutral,neutral
9394375,G5e3c0472b0da9,OK,325ec807,179.42.210.100,Belize,"Thursday, 06-Feb-20 23:21:30 EST","Thursday, 06-Feb-20 23:25:26 EST",3 minute(s) and 56 second(s),https://www.youtube.com/embed/es2lMH147AI?autoplay=0,speak_yes,donating,1,0,1,1,0,TeamTrees,high,very_high,high
