TASK_ID,SAME_TASK_GROUP_ID,STATUS,USER_ID,IP_ADDRESS,COUNTRY,START_TIME,FINISH_TIME,TIME_TOOK_TO_COMPLETE_TASK,VIDEO_URL,speak_language,category,mrbeast,arborday,teamtrees_org,noteble_youtuber,noteble_entrepreneur,event_name,quality,creativity,awareness
9136888,G5e25466849cad,NOK,7171fd0f,2803:1500:1201:49e7:5d:5d47:1b82:99ca,Trinidad and Tobago,"Monday, 20-Jan-20 04:27:56 EST","Monday, 20-Jan-20 04:32:42 EST",4 minute(s) and 46 second(s),https://www.youtube.com/embed/7LtQkgBkFR4?autoplay=0,speak_yes,spread_word,0,0,1,0,0,TeamTrees,neutral,neutral,neutral
9198077,G5e25466849f80,OK,ad652739,24.101.66.244,United States,"Wednesday, 22-Jan-20 20:47:11 EST","Wednesday, 22-Jan-20 20:52:57 EST",5 minute(s) and 46 second(s),https://www.youtube.com/embed/DOdDURQtXFI?autoplay=0,speak_yes,theme_creation_performance,0,0,1,0,0,TeamTrees,very_low,very_low,low
9175543,G5e25466849a0c,OK,ad652739,24.101.66.244,United States,"Tuesday, 21-Jan-20 21:40:26 EST","Tuesday, 21-Jan-20 21:48:11 EST",7 minute(s) and 45 second(s),https://www.youtube.com/embed/AzjkxYmpNwI?autoplay=0,speak_yes,planting_trees,1,0,1,0,0,TeamTrees,neutral,neutral,high
9152150,G5e25466849a0c,OK,b1027564,172.2.244.177,United States,"Monday, 20-Jan-20 20:10:34 EST","Monday, 20-Jan-20 20:15:35 EST",5 minute(s) and 1 second(s),https://www.youtube.com/embed/AzjkxYmpNwI?autoplay=0,speak_yes,planting_trees,1,1,1,1,0,TeamTrees,high,high,high
9148246,G5e25466849a0c,NOK,cd208517,72.27.95.55,Jamaica,"Monday, 20-Jan-20 16:45:17 EST","Monday, 20-Jan-20 16:51:04 EST",5 minute(s) and 47 second(s),https://www.youtube.com/embed/AzjkxYmpNwI?autoplay=0,speak_yes,planting_trees,0,0,0,0,0,TeamTrees,high,high,high
9145365,G5e25466849a0c,OK,4995b78b,72.27.36.49,Jamaica,"Monday, 20-Jan-20 13:39:20 EST","Monday, 20-Jan-20 13:44:34 EST",5 minute(s) and 14 second(s),https://www.youtube.com/embed/AzjkxYmpNwI?autoplay=0,speak_yes,planting_trees,0,0,1,0,0,TeamTrees,high,neutral,neutral
9136878,G5e25466849a0c,NOK,7171fd0f,2803:1500:1201:49e7:5d:5d47:1b82:99ca,Trinidad and Tobago,"Monday, 20-Jan-20 04:14:27 EST","Monday, 20-Jan-20 04:17:38 EST",3 minute(s) and 11 second(s),https://www.youtube.com/embed/AzjkxYmpNwI?autoplay=0,speak_yes,planting_trees,0,0,0,0,0,TeamTrees,neutral,neutral,neutral
9204719,G5e25466849f80,NOK,8fa6cef8,86.20.212.61,United Kingdom,"Thursday, 23-Jan-20 04:12:56 EST","Thursday, 23-Jan-20 04:15:32 EST",2 minute(s) and 36 second(s),https://www.youtube.com/embed/DOdDURQtXFI?autoplay=0,speak_yes,theme_creation_performance,1,1,1,0,1,lg,very_high,very_high,high
9174673,G5e25466849f80,OK,b1027564,172.2.244.177,United States,"Wednesday, 22-Jan-20 15:44:57 EST","Wednesday, 22-Jan-20 15:50:11 EST",5 minute(s) and 14 second(s),https://www.youtube.com/embed/DOdDURQtXFI?autoplay=0,speak_yes,theme_creation_performance,1,1,1,1,0,TeamTrees,high,high,high
9150485,G5e25466849ded,NOK,cd208517,72.27.95.55,Jamaica,"Monday, 20-Jan-20 17:56:54 EST","Monday, 20-Jan-20 18:10:34 EST",13 minute(s) and 40 second(s),https://www.youtube.com/embed/4BwaYTYNRvw?autoplay=0,speak_yes,live_stream_game,0,1,0,0,0,TeamTrees,high,high,high
