TASK_ID,SAME_TASK_GROUP_ID,STATUS,USER_ID,IP_ADDRESS,COUNTRY,START_TIME,FINISH_TIME,TIME_TOOK_TO_COMPLETE_TASK,VIDEO_URL,speak_language,category,mrbeast,arborday,teamtrees_org,noteble_youtuber,noteble_entrepreneur,quality,creativity,awareness,event_name
9106874,G5e20a0a6dfdac,OK,2779e6bc,67.83.37.43,United States,"Thursday, 16-Jan-20 12:54:47 EST","Thursday, 16-Jan-20 13:00:39 EST",5 minute(s) and 52 second(s),https://www.youtube.com/embed/AYo5-OkjSk0?autoplay=0,speak_yes,spread_word,1,0,1,0,1,very_high,very_high,very_high,TeamTrees
9108177,G5e20a0a6e03b9,OK,e46e2603,172.116.205.209,United States,"Thursday, 16-Jan-20 13:34:15 EST","Thursday, 16-Jan-20 13:37:29 EST",3 minute(s) and 14 second(s),https://www.youtube.com/embed/VqgpU84RC2I?autoplay=0,speak_yes,live_stream_game,1,0,1,0,0,high,neutral,neutral,TeamTrees
9106796,G5e20a0a6dec99,OK,2779e6bc,67.83.37.43,United States,"Thursday, 16-Jan-20 12:47:10 EST","Thursday, 16-Jan-20 12:54:38 EST",7 minute(s) and 28 second(s),https://www.youtube.com/embed/AMffdVUQgbk?autoplay=0,speak_yes,live_stream_stat,1,1,1,1,1,high,very_high,high,TeamTrees
9106872,G5e20a0a6dec99,OK,e46e2603,2605:e000:a792:ce00:4db0:b519:ef0a:24ec,United States,"Thursday, 16-Jan-20 12:53:45 EST","Thursday, 16-Jan-20 12:59:57 EST",6 minute(s) and 12 second(s),https://www.youtube.com/embed/AMffdVUQgbk?autoplay=0,speak_yes,live_stream_stat,1,0,1,1,1,very_high,very_high,very_high,TeamTrees
9107553,G5e20a0a6dec99,OK,339d4c7e,24.24.169.139,United States,"Thursday, 16-Jan-20 13:18:43 EST","Thursday, 16-Jan-20 13:20:21 EST",1 minute(s) and 38 second(s),https://www.youtube.com/embed/AMffdVUQgbk?autoplay=0,speak_yes,donating,0,0,1,0,1,very_high,very_high,high,TeamTrees
9110491,G5e20a0a6e0ac3,OK,1dff5063,173.242.133.207,United States,"Thursday, 16-Jan-20 16:02:17 EST","Thursday, 16-Jan-20 16:03:31 EST",1 minute(s) and 14 second(s),https://www.youtube.com/embed/g6JkRxhPAHI?autoplay=0,speak_yes,theme_creation_performance,0,0,1,1,0,high,high,neutral,TeamTrees
9110555,G5e20a0a6e0ac3,OK,e46e2603,172.116.205.209,United States,"Thursday, 16-Jan-20 16:19:24 EST","Thursday, 16-Jan-20 16:22:12 EST",2 minute(s) and 48 second(s),https://www.youtube.com/embed/g6JkRxhPAHI?autoplay=0,speak_yes,live_stream_game,1,0,1,0,0,very_high,very_high,high,TeamTrees
9110601,G5e20a0a6e0ac3,OK,2701dd77,2601:900:8200:e90:3949:e9ef:1977:8dc,United States,"Thursday, 16-Jan-20 16:48:08 EST","Thursday, 16-Jan-20 16:52:59 EST",4 minute(s) and 51 second(s),https://www.youtube.com/embed/g6JkRxhPAHI?autoplay=0,speak_yes,live_stream_game,1,0,0,0,0,low,high,low,TeamTrees
9108625,G5e20a0a6e074d,OK,e46e2603,172.116.205.209,United States,"Thursday, 16-Jan-20 13:50:41 EST","Thursday, 16-Jan-20 13:54:38 EST",3 minute(s) and 57 second(s),https://www.youtube.com/embed/KijsOzOdQ-M?autoplay=0,speak_yes,theme_creation_performance,1,1,1,0,0,very_high,very_high,very_high,TeamTrees
9109248,G5e20a0a6e074d,OK,2701dd77,2601:900:8200:e90:3949:e9ef:1977:8dc,United States,"Thursday, 16-Jan-20 14:14:46 EST","Thursday, 16-Jan-20 14:18:07 EST",3 minute(s) and 21 second(s),https://www.youtube.com/embed/KijsOzOdQ-M?autoplay=0,speak_yes,theme_creation_performance,1,1,1,0,0,high,very_high,high,TeamTrees
9110472,G5e20a0a6e074d,OK,1dff5063,173.242.133.207,United States,"Thursday, 16-Jan-20 15:54:37 EST","Thursday, 16-Jan-20 15:55:48 EST",1 minute(s) and 11 second(s),https://www.youtube.com/embed/KijsOzOdQ-M?autoplay=0,speak_yes,theme_creation_performance,1,0,1,1,0,neutral,high,neutral,TeamTrees
9108155,G5e20a0a6e03b9,OK,339d4c7e,24.24.169.139,United States,"Thursday, 16-Jan-20 13:33:36 EST","Thursday, 16-Jan-20 13:35:23 EST",1 minute(s) and 47 second(s),https://www.youtube.com/embed/VqgpU84RC2I?autoplay=0,speak_yes,theme_creation_performance,0,0,1,0,0,high,high,very_high,TeamTrees
9108826,G5e20a0a6e03b9,OK,2701dd77,2601:900:8200:e90:3949:e9ef:1977:8dc,United States,"Thursday, 16-Jan-20 13:57:55 EST","Thursday, 16-Jan-20 14:02:05 EST",4 minute(s) and 10 second(s),https://www.youtube.com/embed/VqgpU84RC2I?autoplay=0,speak_yes,spread_word,1,1,1,0,0,high,very_high,high,TeamTrees
9110610,G5e20a0a6e0d12,OK,eac0a6ed,201.208.11.207,United States,"Thursday, 16-Jan-20 17:01:02 EST","Thursday, 16-Jan-20 17:02:41 EST",1 minute(s) and 39 second(s),https://www.youtube.com/embed/WcnVW1W705k?autoplay=0,speak_yes,planting_trees,0,0,1,0,0,very_high,very_high,very_high,TeamTrees
9110497,G5e20a0a6e0beb,NOK,1dff5063,173.242.133.207,United States,"Thursday, 16-Jan-20 16:26:22 EST","Thursday, 16-Jan-20 16:28:01 EST",1 minute(s) and 39 second(s),https://www.youtube.com/embed/ajrTfdRGfy8?autoplay=0,speak_yes,spread_word,1,1,1,1,0,high,high,neutral,TeamTrees
9110565,G5e20a0a6e0beb,OK,e46e2603,172.116.205.209,United States,"Thursday, 16-Jan-20 16:22:25 EST","Thursday, 16-Jan-20 16:28:36 EST",6 minute(s) and 11 second(s),https://www.youtube.com/embed/ajrTfdRGfy8?autoplay=0,speak_yes,spread_word,1,1,1,0,0,very_high,very_high,very_high,TeamTrees
9110606,G5e20a0a6e0beb,OK,2701dd77,2601:900:8200:e90:3949:e9ef:1977:8dc,United States,"Thursday, 16-Jan-20 16:53:06 EST","Thursday, 16-Jan-20 17:01:18 EST",8 minute(s) and 12 second(s),https://www.youtube.com/embed/ajrTfdRGfy8?autoplay=0,speak_yes,spread_word,1,1,1,0,0,high,very_high,high,TeamTrees
9110776,G5e20a0a6e0beb,NOK,eac0a6ed,201.208.11.207,United States,"Thursday, 16-Jan-20 18:49:38 EST","Thursday, 16-Jan-20 18:50:35 EST",0 minute(s) and 57 second(s),https://www.youtube.com/embed/ajrTfdRGfy8?autoplay=0,speak_yes,theme_creation_object,0,0,1,0,0,very_high,very_high,very_high,TeamTrees
9110821,G5e20a0a6e0beb,OK,4a204893,216.10.217.20,Jamaica,"Thursday, 16-Jan-20 19:24:37 EST","Thursday, 16-Jan-20 19:26:22 EST",1 minute(s) and 45 second(s),https://www.youtube.com/embed/ajrTfdRGfy8?autoplay=0,speak_yes,spread_word,1,0,0,0,0,high,high,high,TeamTrees
9108565,G5e20a0a6e061f,OK,e46e2603,172.116.205.209,United States,"Thursday, 16-Jan-20 13:43:37 EST","Thursday, 16-Jan-20 13:50:24 EST",6 minute(s) and 47 second(s),https://www.youtube.com/embed/F5-Mv4ZO3fk?autoplay=0,speak_yes,not_recognized,1,0,1,0,0,high,high,high,TeamTrees
9108834,G5e20a0a6e061f,NOK,339d4c7e,24.24.169.139,United States,"Thursday, 16-Jan-20 13:56:55 EST","Thursday, 16-Jan-20 14:03:10 EST",6 minute(s) and 15 second(s),https://www.youtube.com/embed/F5-Mv4ZO3fk?autoplay=0,speak_no,live_stream_game,0,0,1,0,0,high,neutral,neutral,TeamTrees
