TASK_ID,SAME_TASK_GROUP_ID,STATUS,USER_ID,IP_ADDRESS,COUNTRY,START_TIME,FINISH_TIME,TIME_TOOK_TO_COMPLETE_TASK,VIDEO_URL,speak_language,category,mrbeast,arborday,teamtrees_org,noteble_youtuber,noteble_entrepreneur,quality,creativity,awareness,event_name
9110539,G5e209fa145e81,OK,45f3ac2d,79.71.129.218,United Kingdom,"Thursday, 16-Jan-20 16:06:54 EST","Thursday, 16-Jan-20 16:14:30 EST",7 minute(s) and 36 second(s),https://www.youtube.com/embed/HPJKxAhLw5I?autoplay=0,speak_yes,planting_trees,1,1,1,0,0,high,high,very_high,TeamTrees
9110589,G5e209fa146021,OK,e46e2603,172.116.205.209,United States,"Thursday, 16-Jan-20 16:34:56 EST","Thursday, 16-Jan-20 16:42:06 EST",7 minute(s) and 10 second(s),https://www.youtube.com/embed/VI7MYfHCavw?autoplay=0,speak_yes,not_recognized,1,0,1,0,0,very_high,very_high,neutral,TeamTrees
9110859,G5e209fa145cf6,OK,adaac6e4,186.233.184.22,United States,"Thursday, 16-Jan-20 20:02:55 EST","Thursday, 16-Jan-20 20:11:55 EST",9 minute(s) and 0 second(s),https://www.youtube.com/embed/8sp0jzzfsds?autoplay=0,speak_yes,spread_word,1,1,1,0,0,high,high,high,TeamTrees
9110544,G5e209fa145f45,OK,45f3ac2d,79.71.129.218,United Kingdom,"Thursday, 16-Jan-20 16:14:42 EST","Thursday, 16-Jan-20 16:17:39 EST",2 minute(s) and 57 second(s),https://www.youtube.com/embed/s7ijm8YOdSU?autoplay=0,speak_yes,live_stream_stat,1,0,1,1,1,neutral,neutral,low,TeamTrees
9110556,G5e209fa145f45,NOK,eac0a6ed,201.208.11.207,United States,"Thursday, 16-Jan-20 16:20:59 EST","Thursday, 16-Jan-20 16:22:59 EST",2 minute(s) and 0 second(s),https://www.youtube.com/embed/s7ijm8YOdSU?autoplay=0,speak_yes,theme_creation_object,1,0,1,0,1,very_high,neutral,high,TeamTrees
9110575,G5e209fa145f45,NOK,1dff5063,173.242.133.207,United States,"Thursday, 16-Jan-20 16:32:43 EST","Thursday, 16-Jan-20 16:34:22 EST",1 minute(s) and 39 second(s),https://www.youtube.com/embed/s7ijm8YOdSU?autoplay=0,speak_yes,spread_word,1,0,1,1,1,high,high,neutral,TeamTrees
9110806,G5e209fa145f45,OK,e46e2603,172.116.205.209,United States,"Thursday, 16-Jan-20 19:11:40 EST","Thursday, 16-Jan-20 19:15:19 EST",3 minute(s) and 39 second(s),https://www.youtube.com/embed/s7ijm8YOdSU?autoplay=0,speak_yes,not_recognized,1,0,1,1,1,very_high,very_high,high,TeamTrees
9110812,G5e209fa145f45,OK,2701dd77,2601:900:8200:e90:3949:e9ef:1977:8dc,United States,"Thursday, 16-Jan-20 19:14:00 EST","Thursday, 16-Jan-20 19:18:50 EST",4 minute(s) and 50 second(s),https://www.youtube.com/embed/s7ijm8YOdSU?autoplay=0,speak_yes,comment_news,1,0,1,0,1,high,low,high,TeamTrees
9106790,G5e209fa14480d,OK,a1f28e26,64.43.25.74,Ireland,"Thursday, 16-Jan-20 12:47:20 EST","Thursday, 16-Jan-20 12:51:23 EST",4 minute(s) and 3 second(s),https://www.youtube.com/embed/MgEhzCo_32s?autoplay=0,speak_yes,live_stream_stat,0,0,1,0,0,neutral,high,neutral,TeamTrees
9108114,G5e209fa14480d,OK,d2a83828,208.131.165.138,Jamaica,"Thursday, 16-Jan-20 13:21:00 EST","Thursday, 16-Jan-20 13:34:08 EST",13 minute(s) and 8 second(s),https://www.youtube.com/embed/MgEhzCo_32s?autoplay=0,speak_yes,live_stream_stat,1,1,1,1,1,very_high,high,neutral,TeamTrees
9108561,G5e209fa14480d,OK,45f3ac2d,79.71.129.218,United Kingdom,"Thursday, 16-Jan-20 13:35:25 EST","Thursday, 16-Jan-20 13:50:03 EST",14 minute(s) and 38 second(s),https://www.youtube.com/embed/MgEhzCo_32s?autoplay=0,speak_yes,spread_word,1,1,1,0,0,high,high,high,TeamTrees
9110562,G5e209fa146021,NOK,45f3ac2d,79.71.129.218,United Kingdom,"Thursday, 16-Jan-20 16:17:51 EST","Thursday, 16-Jan-20 16:26:54 EST",9 minute(s) and 3 second(s),https://www.youtube.com/embed/VI7MYfHCavw?autoplay=0,speak_yes,not_recognized,1,0,0,0,0,high,high,neutral,TeamTrees
